T(K),Fc,X,m(mol/kg),cp(J/gK),cpm(J/molK),,
187.379889,0.905591931,0.307151963,26.03005923,3.858442298,68.4447232,,
187.4078735,0.905576457,0.307101619,26.02390179,3.833691312,68.00586385,,
187.4360755,0.905560975,0.30705088,26.01769684,3.521337625,62.46520326,,
187.4643765,0.905545247,0.306999957,26.01147044,3.656799394,64.86835735,,
187.4927315,0.905529643,0.306948932,26.0052325,3.401660387,60.34259644,,
187.5212695,0.905513842,0.306897573,25.99895464,3.374437687,59.85986571,,
187.5494105,0.905498022,0.306846924,25.99276445,3.913616784,69.42468059,,
187.577769,0.905482647,0.306795879,25.98652675,3.04986716,54.10255721,,
187.606604,0.905466572,0.306743971,25.98018458,3.206213628,56.87620667,,
187.6348175,0.905450656,0.306693178,25.97397944,3.816106433,67.69551826,,
187.663039,0.905435257,0.306642365,25.96777287,3.163667626,56.12179589,,
187.6912065,0.905419318,0.306591644,25.96157849,3.891906954,69.04057938,,
187.7192865,0.905403966,0.306541076,25.95540369,3.328138072,59.03975936,,
187.747874,0.905388111,0.30648959,25.94911761,3.297018471,58.48788428,,
187.776255,0.905372181,0.30643847,25.94287726,3.69060452,65.47014751,,
187.804659,0.905356542,0.306387304,25.93663218,3.330264369,59.07800223,,
187.8333495,0.905340573,0.306335617,25.93032443,3.345982989,59.35702308,,
187.861876,0.905324602,0.306284221,25.92405306,3.567297744,63.28328686,,
187.890082,0.905308802,0.306233397,25.91785247,3.800161312,67.41444638,,
187.9181505,0.905293173,0.306182816,25.91168242,3.786682226,67.17552456,,
187.94657,0.905277513,0.306131598,25.90543552,3.363983205,59.67704433,,
187.974852,0.90526148,0.306080622,25.89921916,4.001711635,70.99055177,,
188.0030385,0.90524596,0.306029814,25.8930241,3.509699523,62.26241607,,
188.031481,0.90523002,0.305978539,25.88677308,3.67617564,65.21591143,,
188.059912,0.9052142,0.305927279,25.8805249,3.552243559,63.01752363,,
188.088255,0.905198259,0.305876174,25.87429636,3.819898845,67.76598236,,
188.116934,0.905182524,0.305824457,25.8679943,3.127372364,55.48055075,,
188.1453765,0.905166193,0.305773162,25.86174451,4.13206434,73.30431299,,
188.1734375,0.905150709,0.30572255,25.85557885,3.588329097,63.65843908,,
188.2017925,0.905134791,0.305671403,25.84934889,3.686322991,65.39708386,,
188.230044,0.905118965,0.305620437,25.84314197,3.706672674,65.75828972,,
188.2582955,0.905103149,0.305569466,25.83693534,3.699859651,65.63761588,,
188.286593,0.905087309,0.305518407,25.8307189,3.668203149,65.07620288,,
188.3148635,0.905071428,0.305467392,25.82450868,3.745421628,66.44630192,,
188.3431305,0.905055604,0.305416378,25.81829953,3.674404988,65.18661043,,
188.3715995,0.905039713,0.305364994,25.81204629,3.485260857,61.83123931,,
188.40032,0.905023649,0.305313151,25.80573811,3.347108026,59.3804779,,
188.4286175,0.905007461,0.305262067,25.79952312,4.034108362,71.56864535,,
188.4565835,0.904991858,0.305211575,25.79338122,3.733839488,66.24180296,,
188.4846635,0.904976029,0.305160873,25.78721456,3.806030258,67.52273188,,
188.513205,0.904960284,0.305109332,25.78094684,3.063197214,54.3443021,,
188.541724,0.904943922,0.305057827,25.77468434,3.795311249,67.3329657,,
188.5699375,0.904928189,0.305006868,25.76848921,3.438263751,60.99873225,,
188.59878,0.904912157,0.304954768,25.76215624,2.962093807,52.5510904,,
188.6273365,0.904895701,0.304903178,25.75588636,3.821545012,67.79898518,,
188.6552985,0.904879977,0.304852658,25.74974727,3.745383839,66.44798412,,
188.683428,0.904864177,0.30480183,25.74357168,3.628524344,64.37493304,,
188.7115845,0.90484825,0.304750948,25.73739042,3.763938346,66.77755641,,
188.7397675,0.904832406,0.304700013,25.73120362,3.642715969,64.62709066,,
188.768103,0.904816435,0.304648796,25.72498361,3.607290739,63.99878421,,
188.7966105,0.904800405,0.304597264,25.71872611,3.470112039,61.56520968,,
188.8248545,0.904784226,0.304546202,25.71252671,4.011734296,71.17464412,,
188.8532395,0.904768479,0.30449488,25.70629663,3.31835591,58.87316598,,
188.881907,0.904752126,0.304443042,25.70000482,3.65776209,64.89499118,,
188.9101015,0.904736046,0.304392054,25.69381707,3.967321291,70.38731059,,
188.938067,0.904720214,0.304341475,25.68767984,3.971470081,70.46112273,,
188.966708,0.904704379,0.304289668,25.68139463,3.084423565,54.72346294,,
188.995387,0.904687767,0.304237787,25.67510133,3.940025368,69.9036536,,
189.0230855,0.904671875,0.304187675,25.66902345,4.443852897,78.84275381,,
189.051272,0.904656361,0.304136674,25.66283873,3.348747403,59.41358742,,
189.079905,0.904639901,0.30408486,25.6565563,3.87085843,68.6771035,,
189.1079925,0.904623866,0.304034027,25.6503938,4.103993321,72.81361599,,
189.136549,0.904608011,0.303982341,25.64412865,3.25869876,57.81645531,,
189.1653885,0.904591429,0.303930136,25.63780167,3.711485719,65.85008592,,
189.1940295,0.904575238,0.303878285,25.63151849,3.510836297,62.29030089,,
189.222052,0.904558867,0.303827548,25.62537123,4.577336589,81.2127033,,
189.2501205,0.904543366,0.303776722,25.61921413,3.462882993,61.43985849,,
189.2788225,0.904526928,0.303724744,25.6129183,3.715585513,65.92360526,,
189.306834,0.904510691,0.303674011,25.60677417,4.41338342,78.30448135,,
189.335055,0.904495024,0.303622892,25.60058432,3.430036746,60.85762635,,
189.363249,0.904478534,0.303571817,25.59440063,4.452360843,78.99650342,,
189.391413,0.904462885,0.303520791,25.58822375,3.48346886,61.80601216,,
189.4199015,0.904446414,0.303469171,25.58197594,4.007725108,71.10792519,,
189.448191,0.904430381,0.303417906,25.575772,3.756213823,66.64562886,,
189.476412,0.904414123,0.30336676,25.56958331,4.115855139,73.02687625,,
189.5045225,0.904398153,0.303315808,25.56341908,3.887123482,68.96873402,,
189.5325645,0.904382006,0.303264975,25.55727009,4.154291605,73.70927959,,
189.5609535,0.904366101,0.303213507,25.55104524,3.380633496,59.98250046,,
189.589491,0.904349543,0.303161764,25.54478805,3.93292428,69.78199077,,
189.6177045,0.904333453,0.303110603,25.53860213,3.812038868,67.63731665,,
189.646204,0.904317251,0.303058917,25.53235372,3.564995223,63.25418936,,
189.674456,0.904300819,0.303007675,25.52615979,4.171981371,74.02424462,,
189.7026085,0.904284886,0.302956607,25.5199879,3.700107185,65.65188589,,
189.7311575,0.904268553,0.302904814,25.51372929,3.637078523,64.53374575,,
189.7594475,0.904252151,0.302853485,25.50752769,4.077301966,72.34497263,,
